SearchInteraction	2018-02-19T14:34:28.159Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:16.406Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_0A7183B077D34C72AB3E5C1F1A273C85	4	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:18.999Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_84C130CC1591414CB0CEF410CD4C37D7	5	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:42.210Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_48A2FC6F7E184F26A748A829D17295F2	3	5
SearchInteraction	2018-02-19T14:34:28.159Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:16.406Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_0A7183B077D34C72AB3E5C1F1A273C85	4	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:18.999Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_84C130CC1591414CB0CEF410CD4C37D7	5	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:42.210Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_48A2FC6F7E184F26A748A829D17295F2	3	5
SearchInteraction	2018-02-19T14:34:28.159Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:16.406Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_0A7183B077D34C72AB3E5C1F1A273C85	4	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:18.999Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_84C130CC1591414CB0CEF410CD4C37D7	5	5
RankedRetrieveRecordInteraction	2018-02-19T14:35:42.210Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_48A2FC6F7E184F26A748A829D17295F2	3	5
SearchInteraction	2018-02-19T14:34:28.159Z	0da6e896a66c5875ac59f4072d10aba6	what:(*painting*)	{'DATA_PROVIDER': ['INP - National Heritage Institute, Bucharest'], 'IMAGE_SIZE': ['large'], 'MEDIA': ['true'], 'REUSABILITY': ['open'], 'TYPE': ['IMAGE']}	5
