ArbitraryAccessInteraction	2018-03-10T10:35:24.952Z	6dc207cd75a7d984001dcb4ac9ad926e	[200] GET /portal/nl/record/2021644/https___historischcentrumleeuwarden_nl_beeldbank_e7f7eac0_aea9_11e3_a3c8_a70c79420f67.html (PortalController#show)
SearchInteraction	2018-03-10T10:36:08.827Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:36:44.434Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:37:21.098Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:38:07.558Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:38:58.135Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:39:55.456Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:40:36.533Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:41:14.251Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
ArbitraryAccessInteraction	2018-03-10T10:35:24.952Z	6dc207cd75a7d984001dcb4ac9ad926e	[200] GET /portal/nl/record/2021644/https___historischcentrumleeuwarden_nl_beeldbank_e7f7eac0_aea9_11e3_a3c8_a70c79420f67.html (PortalController#show)
SearchInteraction	2018-03-10T10:36:08.827Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:36:44.434Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:37:21.098Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:38:07.558Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:38:58.135Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:39:55.456Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:40:36.533Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
RefreshOrPaginationInteraction	2018-03-10T10:41:14.251Z	6dc207cd75a7d984001dcb4ac9ad926e	NO VALUE PROVIDED		91373
