SearchInteraction	2018-03-06T22:25:21.386Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
RankedRetrieveRecordInteraction	2018-03-06T22:26:05.735Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		/10501/223597	10	25
SearchInteraction	2018-03-06T22:26:30.653Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
SearchInteraction	2018-03-06T22:25:21.386Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
RankedRetrieveRecordInteraction	2018-03-06T22:26:05.735Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		/10501/223597	10	25
SearchInteraction	2018-03-06T22:26:30.653Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
SearchInteraction	2018-03-06T22:25:21.386Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
RankedRetrieveRecordInteraction	2018-03-06T22:26:05.735Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		/10501/223597	10	25
SearchInteraction	2018-03-06T22:26:30.653Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
SearchInteraction	2018-03-06T22:25:21.386Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
RankedRetrieveRecordInteraction	2018-03-06T22:26:05.735Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		/10501/223597	10	25
SearchInteraction	2018-03-06T22:26:30.653Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
SearchInteraction	2018-03-06T22:25:21.386Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
RankedRetrieveRecordInteraction	2018-03-06T22:26:05.735Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		/10501/223597	10	25
SearchInteraction	2018-03-06T22:26:30.653Z	831a8ca989f6fb786bea7c5fe6a5dd00	who:Agostinho, Santo, 354-430		25
