ArbitraryAccessInteraction	2018-03-05T09:08:14.387Z	eff030a99b7410b820215350120abb45	[200] GET /portal/nl/record/2021659/B0801.html (PortalController#show)
SearchInteraction	2018-03-05T09:08:54.307Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:09:40.437Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:08.635Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:31.001Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:51.815Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:08.902Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:25.299Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:50.052Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:12:13.302Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
ArbitraryAccessInteraction	2018-03-05T09:08:14.387Z	eff030a99b7410b820215350120abb45	[200] GET /portal/nl/record/2021659/B0801.html (PortalController#show)
SearchInteraction	2018-03-05T09:08:54.307Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:09:40.437Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:08.635Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:31.001Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:51.815Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:08.902Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:25.299Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:50.052Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:12:13.302Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
ArbitraryAccessInteraction	2018-03-05T09:08:14.387Z	eff030a99b7410b820215350120abb45	[200] GET /portal/nl/record/2021659/B0801.html (PortalController#show)
SearchInteraction	2018-03-05T09:08:54.307Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:09:40.437Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:08.635Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:31.001Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:51.815Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:08.902Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:25.299Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:50.052Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:12:13.302Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
ArbitraryAccessInteraction	2018-03-05T09:08:14.387Z	eff030a99b7410b820215350120abb45	[200] GET /portal/nl/record/2021659/B0801.html (PortalController#show)
SearchInteraction	2018-03-05T09:08:54.307Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:09:40.437Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:08.635Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:31.001Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:51.815Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:08.902Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:25.299Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:50.052Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:12:13.302Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
ArbitraryAccessInteraction	2018-03-05T09:08:14.387Z	eff030a99b7410b820215350120abb45	[200] GET /portal/nl/record/2021659/B0801.html (PortalController#show)
SearchInteraction	2018-03-05T09:08:54.307Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:09:40.437Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:08.635Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:31.001Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:10:51.815Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:08.902Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:25.299Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:11:50.052Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
RefreshOrPaginationInteraction	2018-03-05T09:12:13.302Z	eff030a99b7410b820215350120abb45	NO VALUE PROVIDED		40833
