,,,,Incorrect Assignments,,,,,
Target Language,Language Code Assigned,Correctly Assigned,From Total,Named Entity,No description,Title same as description,Multilingual,"Reason Unknown
",Notes
de,de,39,46,,,,,,85%
,da,,,1,,,,,
,en,,,,,,1,,
,et,,,,,,1,,
,id,,,,,,1,,
,nl,,,,,,1,1,
,pt,,,,,1,,,
en,en,58,58,,,,,,100%
es,es,33,50,,,,,,66%
,de,,,,1,2,1,,
,en,,,,,3,,,
,hu,,,,,2,,,
,so,,,,,1,1,,
,no,,,,,1,,,"The title and description consist simply of the word 'futbol', which might indeed also be Norwegian"
,pt,,,,1,1,2,1,
fr,fr,42,46,,"
",,,,91%
,en,,,,1,,,,"No description, and named entity in title"
,de,,,,2,,,,
,id,,,,1,,,,
it,it,49,50,,,,,,98%
,es,,,1,,,,,
pl,pl,46,50,,,,,,92%
,de,,,,,,2,,
,en,,,,,,1,,
,sv,,,1,,,,,
